Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,146.0,147.35000610351562,146.0,146.39999389648438,146.39999389648438,6784202
2022-01-04,147.6999969482422,149.60000610351562,147.6999969482422,149.60000610351562,149.60000610351562,9634440
2022-01-05,150.10000610351562,150.5500030517578,149.10000610351562,149.3000030517578,149.3000030517578,11406601
2022-01-06,148.3000030517578,148.75,147.0,147.89999389648438,147.89999389648438,8621233
2022-01-07,148.3000030517578,149.0,146.5,146.60000610351562,146.60000610351562,6989124
2022-01-10,146.0,147.8000030517578,145.39999389648438,147.5500030517578,147.5500030517578,15701971
2022-01-11,147.60000610351562,148.5,146.6999969482422,148.3000030517578,148.3000030517578,17755402
2022-01-12,149.35000610351562,149.60000610351562,148.6999969482422,149.5500030517578,149.5500030517578,10154802
2022-01-13,149.5500030517578,150.4499969482422,149.5500030517578,150.3000030517578,150.3000030517578,7453096
2022-01-14,150.8000030517578,151.1999969482422,149.0500030517578,150.3000030517578,150.3000030517578,10111529
2022-01-17,151.10000610351562,152.39999389648438,151.10000610351562,152.0,152.0,6927798
2022-01-18,152.1999969482422,152.25,150.14999389648438,150.3000030517578,150.3000030517578,14415115
2022-01-19,149.0,149.64999389648438,148.25,148.5,148.5,14664287
2022-01-20,148.5,149.1999969482422,147.60000610351562,149.10000610351562,149.10000610351562,16263347
2022-01-21,143.89999389648438,143.9499969482422,142.3000030517578,142.64999389648438,142.64999389648438,29877595
2022-01-24,142.10000610351562,144.0,141.6999969482422,144.0,144.0,13160487
2022-01-25,142.5500030517578,142.5500030517578,141.25,141.64999389648438,141.64999389648438,24021948
2022-01-26,141.14999389648438,142.1999969482422,141.0500030517578,141.5500030517578,141.5500030517578,17750822
2022-02-07,142.60000610351562,142.8000030517578,141.1999969482422,142.3000030517578,142.3000030517578,24022580
2022-02-08,143.3000030517578,143.5,142.8000030517578,142.89999389648438,142.89999389648438,11085092
2022-02-09,143.5,143.5,142.64999389648438,143.39999389648438,143.39999389648438,8060900
2022-02-10,143.89999389648438,145.0500030517578,143.5,145.0500030517578,145.0500030517578,6004217
2022-02-11,144.6999969482422,145.0500030517578,144.0500030517578,144.9499969482422,144.9499969482422,4314921
2022-02-14,143.9499969482422,143.9499969482422,142.1999969482422,142.6999969482422,142.6999969482422,11864040
2022-02-15,142.6999969482422,143.1999969482422,141.9499969482422,142.0500030517578,142.0500030517578,7361227
2022-02-16,143.89999389648438,144.4499969482422,143.8000030517578,144.39999389648438,144.39999389648438,6700043
2022-02-17,144.39999389648438,145.0,144.0,144.5,144.5,4940804
2022-02-18,143.5,144.14999389648438,143.0500030517578,144.10000610351562,144.10000610351562,3867211
2022-02-21,143.4499969482422,143.85000610351562,142.8000030517578,143.8000030517578,143.8000030517578,4502939
2022-02-22,142.60000610351562,142.64999389648438,140.75,141.85000610351562,141.85000610351562,18718149
2022-02-23,141.85000610351562,142.39999389648438,141.64999389648438,142.25,142.25,4408857
2022-02-24,141.10000610351562,141.10000610351562,138.3000030517578,138.8000030517578,138.8000030517578,29453452
2022-02-25,139.0500030517578,139.1999969482422,137.85000610351562,138.5,138.5,22577270
2022-03-01,139.0500030517578,140.8000030517578,138.85000610351562,140.4499969482422,140.4499969482422,8239515
2022-03-02,140.0,140.10000610351562,139.1999969482422,139.64999389648438,139.64999389648438,6131154
2022-03-03,140.5,140.8000030517578,139.85000610351562,139.9499969482422,139.9499969482422,4438868
2022-03-04,138.5,138.85000610351562,137.9499969482422,138.4499969482422,138.4499969482422,12599177
2022-03-07,136.89999389648438,136.89999389648438,133.75,134.0,134.0,52044419
2022-03-08,132.4499969482422,133.14999389648438,131.0,131.14999389648438,131.14999389648438,41820858
2022-03-09,132.1999969482422,133.25,132.1999969482422,132.5,132.5,20881585
2022-03-10,135.1999969482422,136.5500030517578,135.1999969482422,136.35000610351562,136.35000610351562,14436523
2022-03-11,135.85000610351562,135.85000610351562,134.1999969482422,134.39999389648438,134.39999389648438,10604845
2022-03-14,135.0,135.35000610351562,134.0,134.39999389648438,134.39999389648438,8586652
2022-03-15,133.14999389648438,133.14999389648438,131.39999389648438,131.64999389648438,131.64999389648438,23530678
2022-03-16,133.1999969482422,133.25,131.10000610351562,132.1999969482422,132.1999969482422,18988520
2022-03-17,135.4499969482422,136.5,135.1999969482422,136.39999389648438,136.39999389648438,14001548
2022-03-18,136.60000610351562,136.60000610351562,135.5,136.10000610351562,136.10000610351562,12645344
2022-03-21,136.8000030517578,137.64999389648438,136.8000030517578,137.0,137.0,7718397
2022-03-22,136.8000030517578,137.0,136.3000030517578,136.8000030517578,136.8000030517578,6046072
2022-03-23,137.60000610351562,138.35000610351562,137.5500030517578,138.10000610351562,138.10000610351562,10269938
2022-03-24,137.5,138.10000610351562,137.0500030517578,138.0,138.0,4277141
2022-03-25,138.39999389648438,138.5,137.89999389648438,138.1999969482422,138.1999969482422,4874198
2022-03-28,137.0,137.0,135.5500030517578,136.6999969482422,136.6999969482422,10506177
2022-03-29,137.0,137.1999969482422,136.60000610351562,136.85000610351562,136.85000610351562,6443554
2022-03-30,138.0500030517578,138.6999969482422,138.0500030517578,138.5500030517578,138.5500030517578,8166267
2022-03-31,138.5500030517578,138.64999389648438,138.10000610351562,138.10000610351562,138.10000610351562,3559638
2022-04-01,136.60000610351562,136.9499969482422,136.14999389648438,136.9499969482422,136.9499969482422,7698756
2022-04-06,135.25,136.35000610351562,135.0,136.25,136.25,11562914
2022-04-07,135.10000610351562,135.10000610351562,133.8000030517578,133.8000030517578,133.8000030517578,14747866
2022-04-08,134.10000610351562,134.5500030517578,133.75,134.5500030517578,134.5500030517578,8942218
2022-04-11,134.14999389648438,134.4499969482422,132.1999969482422,132.4499969482422,132.4499969482422,16709415
2022-04-12,132.14999389648438,132.85000610351562,131.60000610351562,132.5500030517578,132.5500030517578,14218880
2022-04-13,133.39999389648438,135.1999969482422,133.1999969482422,135.0500030517578,135.0500030517578,7046713
2022-04-14,135.75,135.75,134.5500030517578,134.5500030517578,134.5500030517578,4947994
2022-04-15,132.85000610351562,133.0500030517578,132.0,132.25,132.25,20692379
2022-04-18,132.0,132.25,131.14999389648438,131.5500030517578,131.5500030517578,17962021
2022-04-19,132.25,132.9499969482422,131.85000610351562,132.0,132.0,9059509
2022-04-20,132.1999969482422,132.6999969482422,131.64999389648438,132.64999389648438,132.64999389648438,6762135
2022-04-21,133.25,133.60000610351562,132.64999389648438,132.75,132.75,3984094
2022-04-22,131.39999389648438,131.75,130.85000610351562,131.60000610351562,131.60000610351562,11200337
2022-04-25,130.0,130.0500030517578,128.64999389648438,129.25,129.25,32212970
2022-04-26,129.75,129.8000030517578,128.85000610351562,129.25,129.25,9352352
2022-04-27,127.0,127.0,126.05000305175781,126.55000305175781,126.55000305175781,28746564
2022-04-28,127.3499984741211,127.4000015258789,125.94999694824219,127.0999984741211,127.0999984741211,11542841
2022-04-29,128.89999389648438,129.5,128.25,128.75,128.75,11884431
2022-05-03,128.5500030517578,128.6999969482422,127.44999694824219,127.80000305175781,127.80000305175781,6281269
2022-05-04,128.3000030517578,128.4499969482422,127.5,127.80000305175781,127.80000305175781,9899693
2022-05-05,129.5,129.8000030517578,128.9499969482422,129.25,129.25,6225604
2022-05-06,126.44999694824219,126.8499984741211,125.94999694824219,126.6500015258789,126.6500015258789,17050883
2022-05-09,125.5,125.55000305175781,124.5,124.55000305175781,124.55000305175781,12930248
2022-05-10,122.1500015258789,124.0999984741211,121.55000305175781,124.0,124.0,13844143
2022-05-11,123.8499984741211,124.44999694824219,123.30000305175781,124.19999694824219,124.19999694824219,8049901
2022-05-12,123.0,123.0,121.19999694824219,121.25,121.25,11938815
2022-05-13,122.0999984741211,122.3499984741211,121.55000305175781,122.3499984741211,122.3499984741211,7026550
2022-05-16,123.44999694824219,124.0,122.5,123.0,123.0,5726166
2022-05-17,123.1500015258789,124.5,123.1500015258789,124.3499984741211,124.3499984741211,4165551
2022-05-18,125.3499984741211,126.0,125.25,125.69999694824219,125.69999694824219,6316611
2022-05-19,123.44999694824219,123.80000305175781,122.6500015258789,123.30000305175781,123.30000305175781,7258370
2022-05-20,123.75,124.94999694824219,123.6500015258789,124.6500015258789,124.6500015258789,3665416
2022-05-23,125.30000305175781,125.5999984741211,124.5,124.9000015258789,124.9000015258789,2678893
2022-05-24,125.0,125.19999694824219,123.4000015258789,123.5,123.5,5069187
2022-05-25,123.69999694824219,124.69999694824219,123.44999694824219,124.44999694824219,124.44999694824219,2567573
2022-05-26,125.0,125.0,122.8499984741211,122.9000015258789,122.9000015258789,5804968
2022-05-27,124.1500015258789,125.80000305175781,124.05000305175781,125.5,125.5,11700393
2022-05-30,127.25,128.60000610351562,127.05000305175781,128.5500030517578,128.5500030517578,14542630
2022-05-31,128.4499969482422,129.8000030517578,127.5999984741211,129.8000030517578,129.8000030517578,7025667
2022-06-01,129.3000030517578,130.0500030517578,129.0,129.14999389648438,129.14999389648438,6406682
2022-06-02,128.4499969482422,128.4499969482422,127.5999984741211,127.80000305175781,127.80000305175781,4429653
2022-06-06,128.25,129.0,127.44999694824219,128.6999969482422,128.6999969482422,4027825
2022-06-07,127.94999694824219,127.94999694824219,126.8499984741211,127.4000015258789,127.4000015258789,4841440
2022-06-08,128.5,129.10000610351562,128.14999389648438,128.8000030517578,128.8000030517578,3979050
2022-06-09,128.1999969482422,128.5,127.6500015258789,128.39999389648438,128.39999389648438,1927275
