Date,Open,High,Low
2022-01-03,146.0,147.35000610351562,146.0
2022-01-04,147.6999969482422,149.60000610351562,147.6999969482422
2022-01-05,150.10000610351562,150.5500030517578,149.10000610351562
2022-01-06,148.3000030517578,148.75,147.0
2022-01-07,148.3000030517578,149.0,146.5
2022-01-10,146.0,147.8000030517578,145.39999389648438
2022-01-11,147.60000610351562,148.5,146.6999969482422
2022-01-12,149.35000610351562,149.60000610351562,148.6999969482422
2022-01-13,149.5500030517578,150.4499969482422,149.5500030517578
2022-01-14,150.8000030517578,151.1999969482422,149.0500030517578
2022-01-17,151.10000610351562,152.39999389648438,151.10000610351562
2022-01-18,152.1999969482422,152.25,150.14999389648438
2022-01-19,149.0,149.64999389648438,148.25
2022-01-20,148.5,149.1999969482422,147.60000610351562
2022-01-21,143.89999389648438,143.9499969482422,142.3000030517578
2022-01-24,142.10000610351562,144.0,141.6999969482422
2022-01-25,142.5500030517578,142.5500030517578,141.25
2022-01-26,141.14999389648438,142.1999969482422,141.0500030517578
2022-02-07,142.60000610351562,142.8000030517578,141.1999969482422
2022-02-08,143.3000030517578,143.5,142.8000030517578
2022-02-09,143.5,143.5,142.64999389648438
2022-02-10,143.89999389648438,145.0500030517578,143.5
2022-02-11,144.6999969482422,145.0500030517578,144.0500030517578
2022-02-14,143.9499969482422,143.9499969482422,142.1999969482422
2022-02-15,142.6999969482422,143.1999969482422,141.9499969482422
2022-02-16,143.89999389648438,144.4499969482422,143.8000030517578
2022-02-17,144.39999389648438,145.0,144.0
2022-02-18,143.5,144.14999389648438,143.0500030517578
2022-02-21,143.4499969482422,143.85000610351562,142.8000030517578
2022-02-22,142.60000610351562,142.64999389648438,140.75
2022-02-23,141.85000610351562,142.39999389648438,141.64999389648438
2022-02-24,141.10000610351562,141.10000610351562,138.3000030517578
2022-02-25,139.0500030517578,139.1999969482422,137.85000610351562
2022-03-01,139.0500030517578,140.8000030517578,138.85000610351562
2022-03-02,140.0,140.10000610351562,139.1999969482422
2022-03-03,140.5,140.8000030517578,139.85000610351562
2022-03-04,138.5,138.85000610351562,137.9499969482422
2022-03-07,136.89999389648438,136.89999389648438,133.75
2022-03-08,132.4499969482422,133.14999389648438,131.0
2022-03-09,132.1999969482422,133.25,132.1999969482422
2022-03-10,135.1999969482422,136.5500030517578,135.1999969482422
2022-03-11,135.85000610351562,135.85000610351562,134.1999969482422
2022-03-14,135.0,135.35000610351562,134.0
2022-03-15,133.14999389648438,133.14999389648438,131.39999389648438
2022-03-16,133.1999969482422,133.25,131.10000610351562
2022-03-17,135.4499969482422,136.5,135.1999969482422
2022-03-18,136.60000610351562,136.60000610351562,135.5
2022-03-21,136.8000030517578,137.64999389648438,136.8000030517578
2022-03-22,136.8000030517578,137.0,136.3000030517578
2022-03-23,137.60000610351562,138.35000610351562,137.5500030517578
2022-03-24,137.5,138.10000610351562,137.0500030517578
2022-03-25,138.39999389648438,138.5,137.89999389648438
2022-03-28,137.0,137.0,135.5500030517578
2022-03-29,137.0,137.1999969482422,136.60000610351562
2022-03-30,138.0500030517578,138.6999969482422,138.0500030517578
2022-03-31,138.5500030517578,138.64999389648438,138.10000610351562
2022-04-01,136.60000610351562,136.9499969482422,136.14999389648438
2022-04-06,135.25,136.35000610351562,135.0
2022-04-07,135.10000610351562,135.10000610351562,133.8000030517578
2022-04-08,134.10000610351562,134.5500030517578,133.75
2022-04-11,134.14999389648438,134.4499969482422,132.1999969482422
2022-04-12,132.14999389648438,132.85000610351562,131.60000610351562
2022-04-13,133.39999389648438,135.1999969482422,133.1999969482422
2022-04-14,135.75,135.75,134.5500030517578
2022-04-15,132.85000610351562,133.0500030517578,132.0
2022-04-18,132.0,132.25,131.14999389648438
2022-04-19,132.25,132.9499969482422,131.85000610351562
2022-04-20,132.1999969482422,132.6999969482422,131.64999389648438
2022-04-21,133.25,133.60000610351562,132.64999389648438
2022-04-22,131.39999389648438,131.75,130.85000610351562
2022-04-25,130.0,130.0500030517578,128.64999389648438
2022-04-26,129.75,129.8000030517578,128.85000610351562
2022-04-27,127.0,127.0,126.05000305175781
2022-04-28,127.3499984741211,127.4000015258789,125.94999694824219
2022-04-29,128.89999389648438,129.5,128.25
2022-05-03,128.5500030517578,128.6999969482422,127.44999694824219
2022-05-04,128.3000030517578,128.4499969482422,127.5
2022-05-05,129.5,129.8000030517578,128.9499969482422
2022-05-06,126.44999694824219,126.8499984741211,125.94999694824219
2022-05-09,125.5,125.55000305175781,124.5
2022-05-10,122.1500015258789,124.0999984741211,121.55000305175781
2022-05-11,123.8499984741211,124.44999694824219,123.30000305175781
2022-05-12,123.0,123.0,121.19999694824219
2022-05-13,122.0999984741211,122.3499984741211,121.55000305175781
2022-05-16,123.44999694824219,124.0,122.5
2022-05-17,123.1500015258789,124.5,123.1500015258789
2022-05-18,125.3499984741211,126.0,125.25
2022-05-19,123.44999694824219,123.80000305175781,122.6500015258789
2022-05-20,123.75,124.94999694824219,123.6500015258789
2022-05-23,125.30000305175781,125.5999984741211,124.5
2022-05-24,125.0,125.19999694824219,123.4000015258789
2022-05-25,123.69999694824219,124.69999694824219,123.44999694824219
2022-05-26,125.0,125.0,122.8499984741211
2022-05-27,124.1500015258789,125.80000305175781,124.05000305175781
2022-05-30,127.25,128.60000610351562,127.05000305175781
2022-05-31,128.4499969482422,129.8000030517578,127.5999984741211
2022-06-01,129.3000030517578,130.0500030517578,129.0
2022-06-02,128.4499969482422,128.4499969482422,127.5999984741211
2022-06-06,128.25,129.0,127.44999694824219
2022-06-07,127.94999694824219,127.94999694824219,126.8499984741211
2022-06-08,128.5,129.10000610351562,128.14999389648438
2022-06-09,128.1999969482422,128.5,127.6500015258789
2022-06-10,126.80000305175781,127.4000015258789,126.4000015258789
2022-06-13,124.0999984741211,124.25,123.44999694824219
2022-06-14,122.5999984741211,123.55000305175781,122.0999984741211
2022-06-15,123.0,123.5999984741211,122.6500015258789
2022-06-16,124.0999984741211,125.0,122.25
2022-06-17,121.0,121.5,120.4000015258789
2022-06-20,120.9000015258789,120.94999694824219,119.5
2022-06-21,120.94999694824219,122.19999694824219,120.3499984741211
2022-06-22,121.69999694824219,121.69999694824219,119.3499984741211
2022-06-23,119.80000305175781,119.80000305175781,117.25
2022-06-24,118.6500015258789,119.30000305175781,117.94999694824219
2022-06-27,119.80000305175781,121.44999694824219,119.80000305175781
2022-06-28,120.80000305175781,120.80000305175781,119.25
2022-06-29,118.69999694824219,119.55000305175781,118.5
2022-06-30,117.69999694824219,117.80000305175781,115.5
2022-07-01,115.6500015258789,115.6500015258789,111.19999694824219
2022-07-04,111.25,112.19999694824219,110.0
2022-07-05,112.55000305175781,112.94999694824219,109.0
2022-07-06,111.0,111.05000305175781,108.44999694824219
2022-07-07,109.44999694824219,112.1500015258789,108.55000305175781
2022-07-08,113.30000305175781,113.9000015258789,112.30000305175781
2022-07-11,113.6500015258789,113.69999694824219,111.8499984741211
